model,image,image_sha256,draw,noise_seed,snr_db,payload_uses,scale_uses,feedback_uses,cbr_payload,cbr_total,mse,psnr,lpips,ms_ssim,diffusion_nfe,diffusion_seconds
CDDM_author_C36_paid_scale,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,1,1712298192,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0009454158134758472,30.2437744140625,0.2519835829734802,0.9361292719841003,93,3.2921921020024456
CDDM_author_JSCC_snr13_C36_paid_scale,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,1,1712298192,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0010514626046642661,29.782062530517578,0.23521208763122559,0.9339858293533325,0,0.0
CDDM_author_JSCC_snr10_C36_paid_scale,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,1,1712298192,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0009631541324779391,30.163042068481445,0.25548288226127625,0.9351824522018433,0,0.0
CDDM_author_C36_paid_scale,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,2,2661747810,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0009168264223262668,30.37712860107422,0.2463853359222412,0.9380733370780945,93,4.06186717399396
CDDM_author_JSCC_snr13_C36_paid_scale,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,2,2661747810,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.001004710327833891,29.97959327697754,0.2288813292980194,0.9366159439086914,0,0.0
CDDM_author_JSCC_snr10_C36_paid_scale,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,2,2661747810,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0009575708536431193,30.188291549682617,0.26213347911834717,0.9347914457321167,0,0.0
CDDM_author_C36_paid_scale,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,3,369895959,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0009080576128326356,30.418869018554688,0.24871769547462463,0.9374583959579468,93,4.021157261973713
CDDM_author_JSCC_snr13_C36_paid_scale,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,3,369895959,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0009895446710288525,30.04564666748047,0.22877353429794312,0.9347529411315918,0,0.0
CDDM_author_JSCC_snr10_C36_paid_scale,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,3,369895959,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0009788521565496922,30.092830657958984,0.26147356629371643,0.9337174892425537,0,0.0
CDDM_author_C36_paid_scale,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,4,2095440460,10.0,4608.0,32,2,0.0234375,0.023610432942708332,0.0009007191983982921,30.454105377197266,0.25595584511756897,0.9377197623252869,93,4.0344448030227795
