dataset,image,snr_db,speed_kmh,channel_seed,h1_real,h1_imag,h2_real,h2_imag,method,nack,scale_bits,payload_uses,total_uses,mse,psnr,ms_ssim,lpips,outage
kodak,01.png,0.0,120.0,1556303690,-0.5650075078010559,0.36870288848876953,-0.0776754766702652,-1.372464656829834,adaptive_HARQ,1,4096,8192,16388,0.010612926445901394,19.741648456873676,0.738780677318573,0.611880362033844,1
kodak,01.png,0.0,120.0,1556303690,-0.5650075078010559,0.36870288848876953,-0.0776754766702652,-1.372464656829834,FlowHARQ,1,4096,8192,16388,0.010612926445901394,19.741648456873676,0.738780677318573,0.611880362033844,1
kodak,01.png,3.0,30.0,2945101104,-0.8341575264930725,-0.28453484177589417,-0.6321661472320557,-0.36197593808174133,SwinJSCC_author_one_shot,0,16,4096,4130,0.01431689690798521,18.441511022639183,0.6299529075622559,0.4744129478931427,1
kodak,01.png,3.0,30.0,2945101104,-0.8341575264930725,-0.28453484177589417,-0.6321661472320557,-0.36197593808174133,SwinJSCC_author_Chase_wrapper,1,16,8192,8228,0.006172079127281904,22.095685148315695,0.8351141810417175,0.2984640300273895,1
kodak,01.png,3.0,30.0,2945101104,-0.8341575264930725,-0.28453484177589417,-0.6321661472320557,-0.36197593808174133,same_codec_direct,0,4096,4096,12290,0.010667800903320312,19.719250982873945,0.7142547369003296,0.6316314935684204,1
kodak,01.png,3.0,30.0,2945101104,-0.8341575264930725,-0.28453484177589417,-0.6321661472320557,-0.36197593808174133,same_codec_full_HARQ,1,4096,8192,16388,0.010026990436017513,19.988293992988307,0.746767520904541,0.6054749488830566,1
kodak,01.png,3.0,30.0,2945101104,-0.8341575264930725,-0.28453484177589417,-0.6321661472320557,-0.36197593808174133,adaptive_HARQ,1,4096,8192,16388,0.010026990436017513,19.988293992988307,0.746767520904541,0.6054749488830566,1
kodak,01.png,3.0,30.0,2945101104,-0.8341575264930725,-0.28453484177589417,-0.6321661472320557,-0.36197593808174133,FlowHARQ,1,4096,8192,16388,0.010026990436017513,19.988293992988307,0.746767520904541,0.6054749488830566,1
kodak,01.png,3.0,60.0,2653068537,0.35713446140289307,-0.5947379469871521,-0.7867419719696045,0.04327566176652908,SwinJSCC_author_one_shot,0,16,4096,4130,0.02014918439090252,16.957425287635353,0.572022557258606,0.5894575119018555,1
kodak,01.png,3.0,60.0,2653068537,0.35713446140289307,-0.5947379469871521,-0.7867419719696045,0.04327566176652908,SwinJSCC_author_Chase_wrapper,1,16,8192,8228,0.006099156104028225,22.14730251008512,0.8245641589164734,0.30849382281303406,1
kodak,01.png,3.0,60.0,2653068537,0.35713446140289307,-0.5947379469871521,-0.7867419719696045,0.04327566176652908,same_codec_direct,0,4096,4096,12290,0.01151467114686966,19.387484607513578,0.6784265041351318,0.6517773270606995,1
kodak,01.png,3.0,60.0,2653068537,0.35713446140289307,-0.5947379469871521,-0.7867419719696045,0.04327566176652908,same_codec_full_HARQ,1,4096,8192,16388,0.01035745907574892,19.84746774004714,0.7337216138839722,0.617290735244751,1
kodak,01.png,3.0,60.0,2653068537,0.35713446140289307,-0.5947379469871521,-0.7867419719696045,0.04327566176652908,adaptive_HARQ,1,4096,8192,16388,0.01035745907574892,19.84746774004714,0.7337216138839722,0.617290735244751,1
kodak,01.png,3.0,60.0,2653068537,0.35713446140289307,-0.5947379469871521,-0.7867419719696045,0.04327566176652908,FlowHARQ,1,4096,8192,16388,0.01035745907574892,19.84746774004714,0.7337216138839722,0.617290735244751,1
kodak,01.png,3.0,90.0,3658849881,0.21605804562568665,0.1162109524011612,-0.24332869052886963,0.17392972111701965,SwinJSCC_author_one_shot,0,16,4096,4130,0.1539933681488037,8.12497982010271,0.12641730904579163,0.7283827662467957,1
