model,image,image_sha256,snr_db,draw,noise_seed,payload_uses,scale_uses,rate_map_bits,rate_map_uses,feedback_uses,cbr_payload,cbr_total,mse,psnr,ms_ssim,lpips
ntscc_quality2_paid_metadata,04.png,e3b946107c5d3441c022f678d0c3caf1e224d81b1604ba840a4f88e562de61aa,10.0,9,3945070707,5152.0,32,1024,2048,2,0.026204427083333332,0.036794026692708336,0.000276816135738045,35.578086853027344,0.9670923948287964,0.24610896408557892
ntscc_quality2_paid_metadata,05.png,10349e963c5c813d327852f82c1795fa4148d69fedffc4c589bee458e3ac3d53,10.0,0,2209003489,11657.0,32,1024,2048,2,0.059290568033854164,0.06988016764322917,0.001782153150998056,27.490550994873047,0.9764047861099243,0.06323899328708649
ntscc_quality2_paid_metadata,05.png,10349e963c5c813d327852f82c1795fa4148d69fedffc4c589bee458e3ac3d53,10.0,1,327337422,11657.0,32,1024,2048,2,0.059290568033854164,0.06988016764322917,0.001811937429010868,27.41857147216797,0.9755875468254089,0.06347621232271194
ntscc_quality2_paid_metadata,05.png,10349e963c5c813d327852f82c1795fa4148d69fedffc4c589bee458e3ac3d53,10.0,2,1816397462,11657.0,32,1024,2048,2,0.059290568033854164,0.06988016764322917,0.0018002836732193828,27.446590423583984,0.976064920425415,0.061417803168296814
ntscc_quality2_paid_metadata,05.png,10349e963c5c813d327852f82c1795fa4148d69fedffc4c589bee458e3ac3d53,10.0,3,2193279405,11657.0,32,1024,2048,2,0.059290568033854164,0.06988016764322917,0.00174639280885458,27.578582763671875,0.9766858816146851,0.06452426314353943
ntscc_quality2_paid_metadata,05.png,10349e963c5c813d327852f82c1795fa4148d69fedffc4c589bee458e3ac3d53,10.0,4,1326661360,11657.0,32,1024,2048,2,0.059290568033854164,0.06988016764322917,0.0018406410235911608,27.350309371948242,0.9759259223937988,0.06654515862464905
ntscc_quality2_paid_metadata,05.png,10349e963c5c813d327852f82c1795fa4148d69fedffc4c589bee458e3ac3d53,10.0,5,2908477935,11657.0,32,1024,2048,2,0.059290568033854164,0.06988016764322917,0.0017903142143040895,27.470706939697266,0.9765416979789734,0.06992886960506439
ntscc_quality2_paid_metadata,05.png,10349e963c5c813d327852f82c1795fa4148d69fedffc4c589bee458e3ac3d53,10.0,6,2380327252,11657.0,32,1024,2048,2,0.059290568033854164,0.06988016764322917,0.0017872134922072291,27.478235244750977,0.9768047332763672,0.06431522965431213
ntscc_quality2_paid_metadata,05.png,10349e963c5c813d327852f82c1795fa4148d69fedffc4c589bee458e3ac3d53,10.0,7,1868907783,11657.0,32,1024,2048,2,0.059290568033854164,0.06988016764322917,0.0018479665741324425,27.333059310913086,0.9744846820831299,0.06697358191013336
ntscc_quality2_paid_metadata,05.png,10349e963c5c813d327852f82c1795fa4148d69fedffc4c589bee458e3ac3d53,10.0,8,110583148,11657.0,32,1024,2048,2,0.059290568033854164,0.06988016764322917,0.0017885881243273616,27.474897384643555,0.9761295318603516,0.06418024748563766
ntscc_quality2_paid_metadata,05.png,10349e963c5c813d327852f82c1795fa4148d69fedffc4c589bee458e3ac3d53,10.0,9,2086470130,11657.0,32,1024,2048,2,0.059290568033854164,0.06988016764322917,0.0018116645514965057,27.41922378540039,0.9757255911827087,0.06750136613845825
ntscc_quality2_paid_metadata,06.png,363510303b715d4cbc384e1ce227e466b613a09e1b71ae985882bf8e7fbd9b18,10.0,0,1405178896,10753.0,32,1024,2048,2,0.054692586263020836,0.06528218587239583,0.0017339959740638733,27.609519958496094,0.9521979093551636,0.12627238035202026
ntscc_quality2_paid_metadata,06.png,363510303b715d4cbc384e1ce227e466b613a09e1b71ae985882bf8e7fbd9b18,10.0,1,3142411534,10753.0,32,1024,2048,2,0.054692586263020836,0.06528218587239583,0.0017232319805771112,27.63656234741211,0.9533478021621704,0.12269198894500732
ntscc_quality2_paid_metadata,06.png,363510303b715d4cbc384e1ce227e466b613a09e1b71ae985882bf8e7fbd9b18,10.0,2,3815815851,10753.0,32,1024,2048,2,0.054692586263020836,0.06528218587239583,0.0017234653932973742,27.635974884033203,0.9530452489852905,0.1280379593372345
ntscc_quality2_paid_metadata,06.png,363510303b715d4cbc384e1ce227e466b613a09e1b71ae985882bf8e7fbd9b18,10.0,3,4178382034,10753.0,32,1024,2048,2,0.054692586263020836,0.06528218587239583,0.0017162701115012169,27.654144287109375,0.9538593292236328,0.12138718366622925
ntscc_quality2_paid_metadata,06.png,363510303b715d4cbc384e1ce227e466b613a09e1b71ae985882bf8e7fbd9b18,10.0,4,733816407,10753.0,32,1024,2048,2,0.054692586263020836,0.06528218587239583,0.0017272125696763396,27.626543045043945,0.9531879425048828,0.123450368642807
ntscc_quality2_paid_metadata,06.png,363510303b715d4cbc384e1ce227e466b613a09e1b71ae985882bf8e7fbd9b18,10.0,5,3783561066,10753.0,32,1024,2048,2,0.054692586263020836,0.06528218587239583,0.0017332140123471618,27.61147689819336,0.9526295065879822,0.11971771717071533
ntscc_quality2_paid_metadata,06.png,363510303b715d4cbc384e1ce227e466b613a09e1b71ae985882bf8e7fbd9b18,10.0,6,2285678882,10753.0,32,1024,2048,2,0.054692586263020836,0.06528218587239583,0.001725090085528791,27.631881713867188,0.9531573057174683,0.1267644613981247
ntscc_quality2_paid_metadata,06.png,363510303b715d4cbc384e1ce227e466b613a09e1b71ae985882bf8e7fbd9b18,10.0,7,874070646,10753.0,32,1024,2048,2,0.054692586263020836,0.06528218587239583,0.0017240634188055992,27.63446807861328,0.9533532857894897,0.12037026882171631
ntscc_quality2_paid_metadata,06.png,363510303b715d4cbc384e1ce227e466b613a09e1b71ae985882bf8e7fbd9b18,10.0,8,2334558296,10753.0,32,1024,2048,2,0.054692586263020836,0.06528218587239583,0.0017143561271950603,27.65898895263672,0.9529282450675964,0.11881272494792938
ntscc_quality2_paid_metadata,06.png,363510303b715d4cbc384e1ce227e466b613a09e1b71ae985882bf8e7fbd9b18,10.0,9,1603533872,10753.0,32,1024,2048,2,0.054692586263020836,0.06528218587239583,0.0017082508420571685,27.674484252929688,0.9532712697982788,0.12362891435623169
ntscc_quality2_paid_metadata,07.png,b77d3f006f42414bb242222e0482e750c0fb9e5ee8d4bed2f6f11c5605fe54a4,10.0,0,154875655,8218.0,32,1024,2048,2,0.041798909505208336,0.052388509114583336,0.0007342045428231359,31.341829299926758,0.9760359525680542,0.06287653744220734
ntscc_quality2_paid_metadata,07.png,b77d3f006f42414bb242222e0482e750c0fb9e5ee8d4bed2f6f11c5605fe54a4,10.0,1,1459453153,8218.0,32,1024,2048,2,0.041798909505208336,0.052388509114583336,0.0007340161828324199,31.342945098876953,0.9765057563781738,0.06284940242767334
ntscc_quality2_paid_metadata,07.png,b77d3f006f42414bb242222e0482e750c0fb9e5ee8d4bed2f6f11c5605fe54a4,10.0,2,2310409658,8218.0,32,1024,2048,2,0.041798909505208336,0.052388509114583336,0.0007333740359172225,31.346744537353516,0.976743221282959,0.06311875581741333
