model,image,image_sha256,draw,noise_seed,rounds,snr_db,height,width,cbr_payload,mse,psnr,ms_ssim,ms_ssim_db,lpips
DeepJSCC-f_author_DIV2K,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,6,100017076,1,10,256,256,0.041666666666666664,0.0030780229717493057,25.11728286743164,0.8820618391036987,9.283456802368164,0.34431567788124084
DeepJSCC-f_author_DIV2K,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,7,100017077,1,10,256,256,0.041666666666666664,0.003355707973241806,24.74216079711914,0.8741642832756042,9.001960754394531,0.3514593541622162
DeepJSCC-f_author_DIV2K,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,8,100017078,1,10,256,256,0.041666666666666664,0.003178549464792013,24.977710723876953,0.87897789478302,9.171353340148926,0.3503265082836151
DeepJSCC-f_author_DIV2K,02.png,4f4b74a79237e311d72cad958237b5f7088d8bce1c82305ebefe1a70e3022dfd,9,100017079,1,10,256,256,0.041666666666666664,0.003254970069974661,24.87453269958496,0.8835735321044922,9.339483261108398,0.34343069791793823
DeepJSCC-f_author_DIV2K,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,0,100027070,1,10,256,256,0.041666666666666664,0.0024465378373861313,26.114482879638672,0.9008528590202332,10.037198066711426,0.2509447932243347
DeepJSCC-f_author_DIV2K,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,1,100027071,1,10,256,256,0.041666666666666664,0.002407263731583953,26.184764862060547,0.9033514857292175,10.148048400878906,0.24708566069602966
DeepJSCC-f_author_DIV2K,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,2,100027072,1,10,256,256,0.041666666666666664,0.00237412191927433,26.24496841430664,0.9049735069274902,10.221552848815918,0.24738073348999023
DeepJSCC-f_author_DIV2K,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,3,100027073,1,10,256,256,0.041666666666666664,0.00243419804610312,26.13644027709961,0.9036821126937866,10.162930488586426,0.2522946894168854
DeepJSCC-f_author_DIV2K,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,4,100027074,1,10,256,256,0.041666666666666664,0.002427969127893448,26.147567749023438,0.9025915861129761,10.114035606384277,0.24861940741539001
DeepJSCC-f_author_DIV2K,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,5,100027075,1,10,256,256,0.041666666666666664,0.0023906375281512737,26.21486473083496,0.9006189107894897,10.026962280273438,0.2443012297153473
DeepJSCC-f_author_DIV2K,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,6,100027076,1,10,256,256,0.041666666666666664,0.0024315044283866882,26.141250610351562,0.9004525542259216,10.019698143005371,0.24910059571266174
DeepJSCC-f_author_DIV2K,03.png,e25ca1ff2f0c0cb5fdfd5f9b0a0bb21ac4c3de3c84a67f35b09a85d3306249db,7,100027077,1,10,256,256,0.041666666666666664,0.0024558301083743572,26.098018646240234,0.9001166820526123,10.005071640014648,0.24923838675022125
