dataset,image,snr_db,speed_kmh,channel_seed,h1_real,h1_imag,h2_real,h2_imag,method,nack,scale_bits,payload_uses,total_uses,mse,psnr,ms_ssim,lpips,outage
div2k,0821.png,3.0,90.0,3283273767,-0.3462164103984833,0.7581226825714111,0.5584332346916199,0.11941622197628021,SwinJSCC_author_one_shot,0,16,4096,4130,0.0031680164393037558,24.992125734586857,0.7885872721672058,0.29918593168258667,0
div2k,0821.png,3.0,90.0,3283273767,-0.3462164103984833,0.7581226825714111,0.5584332346916199,0.11941622197628021,SwinJSCC_author_Chase_wrapper,1,16,8192,8228,0.0010293746599927545,29.874265269356375,0.8866006135940552,0.23497521877288818,0
div2k,0821.png,3.0,90.0,3283273767,-0.3462164103984833,0.7581226825714111,0.5584332346916199,0.11941622197628021,same_codec_direct,0,4096,4096,12290,0.005389796569943428,22.684276263194384,0.764105498790741,0.49538904428482056,1
div2k,0821.png,3.0,90.0,3283273767,-0.3462164103984833,0.7581226825714111,0.5584332346916199,0.11941622197628021,same_codec_full_HARQ,1,4096,8192,16388,0.004571955185383558,23.398980352400145,0.7821959257125854,0.4751966595649719,1
div2k,0821.png,3.0,90.0,3283273767,-0.3462164103984833,0.7581226825714111,0.5584332346916199,0.11941622197628021,adaptive_HARQ,1,4096,8192,16388,0.004571955185383558,23.398980352400145,0.7821959257125854,0.4751966595649719,1
div2k,0821.png,3.0,90.0,3283273767,-0.3462164103984833,0.7581226825714111,0.5584332346916199,0.11941622197628021,FlowHARQ,1,4096,8192,16388,0.004571955185383558,23.398980352400145,0.7821959257125854,0.4751966595649719,1
div2k,0821.png,3.0,120.0,3046444084,1.0987712144851685,0.6700038313865662,-1.8716802597045898,-0.20256759226322174,SwinJSCC_author_one_shot,0,16,4096,4130,0.00036280095810070634,34.40331574706484,0.9770404696464539,0.1357496678829193,0
div2k,0821.png,3.0,120.0,3046444084,1.0987712144851685,0.6700038313865662,-1.8716802597045898,-0.20256759226322174,SwinJSCC_author_Chase_wrapper,1,16,8192,8228,0.00023828799021430314,36.22897845673239,0.9852746725082397,0.11519443243741989,0
div2k,0821.png,3.0,120.0,3046444084,1.0987712144851685,0.6700038313865662,-1.8716802597045898,-0.20256759226322174,same_codec_direct,0,4096,4096,12290,0.0038433345034718513,24.152918151999963,0.8201851844787598,0.44674962759017944,0
div2k,0821.png,3.0,120.0,3046444084,1.0987712144851685,0.6700038313865662,-1.8716802597045898,-0.20256759226322174,same_codec_full_HARQ,1,4096,8192,16388,0.0034479990135878325,24.624328670913567,0.8387510776519775,0.45382362604141235,0
div2k,0821.png,3.0,120.0,3046444084,1.0987712144851685,0.6700038313865662,-1.8716802597045898,-0.20256759226322174,adaptive_HARQ,0,4096,4096,12290,0.0038433345034718513,24.152918151999963,0.8201851844787598,0.44674962759017944,0
div2k,0821.png,3.0,120.0,3046444084,1.0987712144851685,0.6700038313865662,-1.8716802597045898,-0.20256759226322174,FlowHARQ,0,4096,4096,12290,0.0036681322380900383,24.355550161760643,0.8436294794082642,0.44681352376937866,0
div2k,0821.png,6.0,30.0,259243318,0.1501069962978363,-0.21137484908103943,-0.3234082758426666,-0.5096219182014465,SwinJSCC_author_one_shot,0,16,4096,4130,0.19648465514183044,7.066713610516501,0.03973563387989998,0.8858034610748291,1
div2k,0821.png,6.0,30.0,259243318,0.1501069962978363,-0.21137484908103943,-0.3234082758426666,-0.5096219182014465,SwinJSCC_author_Chase_wrapper,1,16,8192,8228,0.0012090600794181228,29.17552118071004,0.9131615161895752,0.22727461159229279,0
div2k,0821.png,6.0,30.0,259243318,0.1501069962978363,-0.21137484908103943,-0.3234082758426666,-0.5096219182014465,same_codec_direct,0,4096,4096,12290,0.009890983812510967,20.047605088987773,0.6636881828308105,0.5745830535888672,1
div2k,0821.png,6.0,30.0,259243318,0.1501069962978363,-0.21137484908103943,-0.3234082758426666,-0.5096219182014465,same_codec_full_HARQ,1,4096,8192,16388,0.005175051745027304,22.86085303365253,0.7898577451705933,0.48268163204193115,1
div2k,0821.png,6.0,30.0,259243318,0.1501069962978363,-0.21137484908103943,-0.3234082758426666,-0.5096219182014465,adaptive_HARQ,1,4096,8192,16388,0.005175051745027304,22.86085303365253,0.7898577451705933,0.48268163204193115,1
div2k,0821.png,6.0,30.0,259243318,0.1501069962978363,-0.21137484908103943,-0.3234082758426666,-0.5096219182014465,FlowHARQ,1,4096,8192,16388,0.005175051745027304,22.86085303365253,0.7898577451705933,0.48268163204193115,1
div2k,0821.png,6.0,60.0,280609825,0.19903564453125,0.2069496214389801,-1.1598836183547974,-0.6546775102615356,SwinJSCC_author_one_shot,0,16,4096,4130,0.14576372504234314,8.36350541683762,0.15487699210643768,0.8537214994430542,1
div2k,0821.png,6.0,60.0,280609825,0.19903564453125,0.2069496214389801,-1.1598836183547974,-0.6546775102615356,SwinJSCC_author_Chase_wrapper,1,16,8192,8228,0.0002784361131489277,35.55274437437304,0.9834880828857422,0.1209142655134201,0
div2k,0821.png,6.0,60.0,280609825,0.19903564453125,0.2069496214389801,-1.1598836183547974,-0.6546775102615356,same_codec_direct,0,4096,4096,12290,0.008392642252147198,20.761012888885297,0.7257533073425293,0.5100200176239014,1
div2k,0821.png,6.0,60.0,280609825,0.19903564453125,0.2069496214389801,-1.1598836183547974,-0.6546775102615356,same_codec_full_HARQ,1,4096,8192,16388,0.0034436434507369995,24.62981821037632,0.8326528072357178,0.44863012433052063,0
div2k,0821.png,6.0,60.0,280609825,0.19903564453125,0.2069496214389801,-1.1598836183547974,-0.6546775102615356,adaptive_HARQ,1,4096,8192,16388,0.0034436434507369995,24.62981821037632,0.8326528072357178,0.44863012433052063,0
div2k,0821.png,6.0,60.0,280609825,0.19903564453125,0.2069496214389801,-1.1598836183547974,-0.6546775102615356,FlowHARQ,1,4096,8192,16388,0.0034436434507369995,24.62981821037632,0.8326528072357178,0.44863012433052063,0
div2k,0821.png,6.0,90.0,2323758374,0.0023355630692094564,-0.13679280877113342,-0.5503462553024292,0.5218486189842224,SwinJSCC_author_one_shot,0,16,4096,4130,0.29442450404167175,5.310260478426198,0.01378535758703947,0.7573400139808655,1
div2k,0821.png,6.0,90.0,2323758374,0.0023355630692094564,-0.13679280877113342,-0.5503462553024292,0.5218486189842224,SwinJSCC_author_Chase_wrapper,1,16,8192,8228,0.0005654924316331744,32.475732031557584,0.9635164737701416,0.1932559311389923,0
div2k,0821.png,6.0,90.0,2323758374,0.0023355630692094564,-0.13679280877113342,-0.5503462553024292,0.5218486189842224,same_codec_direct,0,4096,4096,12290,0.010866055265069008,19.639280904624787,0.6383165121078491,0.6642634868621826,1
div2k,0821.png,6.0,90.0,2323758374,0.0023355630692094564,-0.13679280877113342,-0.5503462553024292,0.5218486189842224,same_codec_full_HARQ,1,4096,8192,16388,0.004380923230201006,23.58434357182976,0.7921637892723083,0.4538215100765228,1
div2k,0821.png,6.0,90.0,2323758374,0.0023355630692094564,-0.13679280877113342,-0.5503462553024292,0.5218486189842224,adaptive_HARQ,1,4096,8192,16388,0.004380923230201006,23.58434357182976,0.7921637892723083,0.4538215100765228,1
div2k,0821.png,6.0,90.0,2323758374,0.0023355630692094564,-0.13679280877113342,-0.5503462553024292,0.5218486189842224,FlowHARQ,1,4096,8192,16388,0.004380923230201006,23.58434357182976,0.7921637892723083,0.4538215100765228,1
div2k,0821.png,6.0,120.0,3577459067,-0.5070065259933472,1.3120849132537842,0.8203327059745789,-2.132920265197754,SwinJSCC_author_one_shot,0,16,4096,4130,0.00025679339887574315,35.904161444220556,0.9839011430740356,0.11748997867107391,0
div2k,0821.png,6.0,120.0,3577459067,-0.5070065259933472,1.3120849132537842,0.8203327059745789,-2.132920265197754,SwinJSCC_author_Chase_wrapper,1,16,8192,8228,0.00020214123651385307,36.943450820135844,0.9879211783409119,0.11003972589969635,0
div2k,0821.png,6.0,120.0,3577459067,-0.5070065259933472,1.3120849132537842,0.8203327059745789,-2.132920265197754,same_codec_direct,0,4096,4096,12290,0.0035289376974105835,24.5235600894228,0.8414141535758972,0.44940081238746643,0
div2k,0821.png,6.0,120.0,3577459067,-0.5070065259933472,1.3120849132537842,0.8203327059745789,-2.132920265197754,same_codec_full_HARQ,1,4096,8192,16388,0.0032156165689229965,24.92735742239695,0.8448121547698975,0.4503104090690613,0
div2k,0821.png,6.0,120.0,3577459067,-0.5070065259933472,1.3120849132537842,0.8203327059745789,-2.132920265197754,adaptive_HARQ,0,4096,4096,12290,0.0035289376974105835,24.5235600894228,0.8414141535758972,0.44940081238746643,0
div2k,0821.png,6.0,120.0,3577459067,-0.5070065259933472,1.3120849132537842,0.8203327059745789,-2.132920265197754,FlowHARQ,0,4096,4096,12290,0.0033650374971330166,24.730100920024935,0.8593511581420898,0.45065197348594666,0
div2k,0821.png,9.0,30.0,933146975,-0.13558846712112427,-1.3705546855926514,-0.11208677291870117,-0.8567841649055481,SwinJSCC_author_one_shot,0,16,4096,4130,0.0002240139729110524,36.49724891626084,0.9867944717407227,0.10779779404401779,0
div2k,0821.png,9.0,30.0,933146975,-0.13558846712112427,-1.3705546855926514,-0.11208677291870117,-0.8567841649055481,SwinJSCC_author_Chase_wrapper,1,16,8192,8228,0.00021097154240123928,36.75776122008533,0.9876238703727722,0.10766878724098206,0
div2k,0821.png,9.0,30.0,933146975,-0.13558846712112427,-1.3705546855926514,-0.11208677291870117,-0.8567841649055481,same_codec_direct,0,4096,4096,12290,0.0032806205563247204,24.84043998149155,0.841087818145752,0.45464807748794556,0
div2k,0821.png,9.0,30.0,933146975,-0.13558846712112427,-1.3705546855926514,-0.11208677291870117,-0.8567841649055481,same_codec_full_HARQ,1,4096,8192,16388,0.0031906659714877605,24.96118659401872,0.8440720438957214,0.4498993754386902,0
