dataset,image,training_seed,channel_seed,snr_db,speed_kmh,scale_mode,method,nack,payload_uses,scale_bits,feedback_bits,total_uses,psnr,mse,lpips,ms_ssim,outage,false_ack
div2k,0858.png,2030,8001,12.0,30.0,ideal,adaptive_harq,1,8192,4096,2,16388,20.856801986694336,0.00820955727249384,0.535376787185669,0.8152235150337219,1,0
div2k,0859.png,2030,8001,12.0,30.0,ideal,adaptive_harq,1,8192,4096,2,16388,20.014652252197266,0.009966316632926464,0.5278622508049011,0.8254266381263733,1,0
div2k,0860.png,2030,8001,12.0,30.0,ideal,adaptive_harq,1,8192,4096,2,16388,15.969902038574219,0.02529355138540268,0.5499345660209656,0.7696794867515564,1,0
div2k,0857.png,2030,8001,12.0,30.0,ideal,flowharq,0,4096,4096,1,12290,23.753440856933594,0.004213626030832529,0.430657297372818,0.8537344932556152,1,1
div2k,0858.png,2030,8001,12.0,30.0,ideal,flowharq,1,8192,4096,2,16388,20.856801986694336,0.00820955727249384,0.535376787185669,0.8152235150337219,1,0
div2k,0859.png,2030,8001,12.0,30.0,ideal,flowharq,1,8192,4096,2,16388,20.014652252197266,0.009966316632926464,0.5278622508049011,0.8254266381263733,1,0
div2k,0860.png,2030,8001,12.0,30.0,ideal,flowharq,1,8192,4096,2,16388,15.969902038574219,0.02529355138540268,0.5499345660209656,0.7696794867515564,1,0
div2k,0857.png,2030,8001,12.0,30.0,binary16,direct,0,4096,4096,1,12290,23.799360275268555,0.004169308114796877,0.418576180934906,0.8563321232795715,1,1
div2k,0858.png,2030,8001,12.0,30.0,binary16,direct,0,4096,4096,1,12290,20.643836975097656,0.00862216204404831,0.5324460864067078,0.7927203178405762,1,1
div2k,0859.png,2030,8001,12.0,30.0,binary16,direct,0,4096,4096,1,12290,19.8675479888916,0.010309680365025997,0.5389910340309143,0.8143959641456604,1,1
div2k,0860.png,2030,8001,12.0,30.0,binary16,direct,0,4096,4096,1,12290,14.690471649169922,0.03395884111523628,0.6063161492347717,0.6495508551597595,1,1
div2k,0857.png,2030,8001,12.0,30.0,binary16,full_harq,1,8192,4096,2,16388,26.6983642578125,0.002138767158612609,0.3221157491207123,0.9424983859062195,0,0
div2k,0858.png,2030,8001,12.0,30.0,binary16,full_harq,1,8192,4096,2,16388,20.85677146911621,0.008209616877138615,0.5353785753250122,0.8152245879173279,1,0
div2k,0859.png,2030,8001,12.0,30.0,binary16,full_harq,1,8192,4096,2,16388,20.014625549316406,0.009966379962861538,0.5278694033622742,0.8254241943359375,1,0
div2k,0860.png,2030,8001,12.0,30.0,binary16,full_harq,1,8192,4096,2,16388,15.969897270202637,0.02529357373714447,0.549930989742279,0.7696802616119385,1,0
div2k,0857.png,2030,8001,12.0,30.0,binary16,fm_only,0,4096,4096,1,12290,23.753379821777344,0.004213683307170868,0.43064945936203003,0.8537404537200928,1,1
div2k,0858.png,2030,8001,12.0,30.0,binary16,fm_only,0,4096,4096,1,12290,20.704328536987305,0.008502901531755924,0.5352253913879395,0.7921696305274963,1,1
div2k,0859.png,2030,8001,12.0,30.0,binary16,fm_only,0,4096,4096,1,12290,19.943208694458008,0.010131624527275562,0.5414015054702759,0.813559353351593,1,1
div2k,0860.png,2030,8001,12.0,30.0,binary16,fm_only,0,4096,4096,1,12290,14.64310073852539,0.03433128073811531,0.6060181260108948,0.6530081629753113,1,1
div2k,0857.png,2030,8001,12.0,30.0,binary16,adaptive_harq,0,4096,4096,1,12290,23.799360275268555,0.004169308114796877,0.418576180934906,0.8563321232795715,1,1
div2k,0858.png,2030,8001,12.0,30.0,binary16,adaptive_harq,1,8192,4096,2,16388,20.85677146911621,0.008209616877138615,0.5353785753250122,0.8152245879173279,1,0
div2k,0859.png,2030,8001,12.0,30.0,binary16,adaptive_harq,1,8192,4096,2,16388,20.014625549316406,0.009966379962861538,0.5278694033622742,0.8254241943359375,1,0
div2k,0860.png,2030,8001,12.0,30.0,binary16,adaptive_harq,1,8192,4096,2,16388,15.969897270202637,0.02529357373714447,0.549930989742279,0.7696802616119385,1,0
div2k,0857.png,2030,8001,12.0,30.0,binary16,flowharq,0,4096,4096,1,12290,23.753379821777344,0.004213683307170868,0.43064945936203003,0.8537404537200928,1,1
div2k,0858.png,2030,8001,12.0,30.0,binary16,flowharq,1,8192,4096,2,16388,20.85677146911621,0.008209616877138615,0.5353785753250122,0.8152245879173279,1,0
div2k,0859.png,2030,8001,12.0,30.0,binary16,flowharq,1,8192,4096,2,16388,20.014625549316406,0.009966379962861538,0.5278694033622742,0.8254241943359375,1,0
div2k,0860.png,2030,8001,12.0,30.0,binary16,flowharq,1,8192,4096,2,16388,15.969897270202637,0.02529357373714447,0.549930989742279,0.7696802616119385,1,0
div2k,0861.png,2030,8001,12.0,30.0,ideal,direct,0,4096,4096,1,12290,12.981498718261719,0.0503326915204525,0.7984009385108948,0.2881641387939453,1,1
div2k,0862.png,2030,8001,12.0,30.0,ideal,direct,0,4096,4096,1,12290,25.11723518371582,0.003078055800870061,0.6375647187232971,0.8226687908172607,0,0
div2k,0863.png,2030,8001,12.0,30.0,ideal,direct,0,4096,4096,1,12290,23.52391242980957,0.004442308563739061,0.5729285478591919,0.8085082173347473,1,1
div2k,0864.png,2030,8001,12.0,30.0,ideal,direct,0,4096,4096,1,12290,27.3917236328125,0.0018231716239824891,0.46625086665153503,0.897179901599884,0,0
div2k,0861.png,2030,8001,12.0,30.0,ideal,full_harq,1,8192,4096,2,16388,16.637880325317383,0.021687621250748634,0.6000229120254517,0.7143210768699646,1,0
div2k,0862.png,2030,8001,12.0,30.0,ideal,full_harq,1,8192,4096,2,16388,25.20034408569336,0.0030197130981832743,0.6260237693786621,0.8343949913978577,0,0
div2k,0863.png,2030,8001,12.0,30.0,ideal,full_harq,1,8192,4096,2,16388,24.40446662902832,0.0036270481068640947,0.522998034954071,0.8487256169319153,0,0
div2k,0864.png,2030,8001,12.0,30.0,ideal,full_harq,1,8192,4096,2,16388,27.401952743530273,0.0018188832327723503,0.46626126766204834,0.8974407315254211,0,0
div2k,0861.png,2030,8001,12.0,30.0,ideal,fm_only,0,4096,4096,1,12290,13.002948760986328,0.050084710121154785,0.7924612164497375,0.2927941381931305,1,1
div2k,0862.png,2030,8001,12.0,30.0,ideal,fm_only,0,4096,4096,1,12290,25.238330841064453,0.0029934158083051443,0.6378327012062073,0.8226621150970459,0,0
div2k,0863.png,2030,8001,12.0,30.0,ideal,fm_only,0,4096,4096,1,12290,23.83304786682129,0.004137091804295778,0.5870316624641418,0.8024012446403503,1,1
div2k,0864.png,2030,8001,12.0,30.0,ideal,fm_only,0,4096,4096,1,12290,27.623960494995117,0.001728239469230175,0.46944230794906616,0.8969162106513977,0,0
div2k,0861.png,2030,8001,12.0,30.0,ideal,adaptive_harq,1,8192,4096,2,16388,16.637880325317383,0.021687621250748634,0.6000229120254517,0.7143210768699646,1,0
div2k,0862.png,2030,8001,12.0,30.0,ideal,adaptive_harq,0,4096,4096,1,12290,25.11723518371582,0.003078055800870061,0.6375647187232971,0.8226687908172607,0,0
div2k,0863.png,2030,8001,12.0,30.0,ideal,adaptive_harq,1,8192,4096,2,16388,24.40446662902832,0.0036270481068640947,0.522998034954071,0.8487256169319153,0,0
div2k,0864.png,2030,8001,12.0,30.0,ideal,adaptive_harq,0,4096,4096,1,12290,27.3917236328125,0.0018231716239824891,0.46625086665153503,0.897179901599884,0,0
div2k,0861.png,2030,8001,12.0,30.0,ideal,flowharq,1,8192,4096,2,16388,16.637880325317383,0.021687621250748634,0.6000229120254517,0.7143210768699646,1,0
div2k,0862.png,2030,8001,12.0,30.0,ideal,flowharq,0,4096,4096,1,12290,25.238330841064453,0.0029934158083051443,0.6378327012062073,0.8226621150970459,0,0
div2k,0863.png,2030,8001,12.0,30.0,ideal,flowharq,0,4096,4096,1,12290,23.83304786682129,0.004137091804295778,0.5870316624641418,0.8024012446403503,1,1
