dataset,image,training_seed,channel_seed,snr_db,speed_kmh,scale_mode,method,nack,payload_uses,scale_bits,feedback_bits,total_uses,psnr,mse,lpips,ms_ssim,outage,false_ack
kodak,11.png,2030,9001,0.0,30.0,ideal,direct,0,4096,4096,1,12290,19.597003936767578,0.010972346179187298,0.5509343147277832,0.7877071499824524,1,1
kodak,12.png,2030,9001,0.0,30.0,ideal,direct,0,4096,4096,1,12290,21.83631706237793,0.006551917176693678,0.5883368253707886,0.7698278427124023,1,1
kodak,09.png,2030,9001,0.0,30.0,ideal,full_harq,1,8192,4096,2,16388,22.471473693847656,0.005660473834723234,0.46662187576293945,0.8286852240562439,1,0
kodak,10.png,2030,9001,0.0,30.0,ideal,full_harq,1,8192,4096,2,16388,27.59156036376953,0.0017411817098036408,0.5706120729446411,0.8683449625968933,0,0
kodak,11.png,2030,9001,0.0,30.0,ideal,full_harq,1,8192,4096,2,16388,19.857860565185547,0.010332703590393066,0.5298058390617371,0.8111376762390137,1,0
kodak,12.png,2030,9001,0.0,30.0,ideal,full_harq,1,8192,4096,2,16388,23.013874053955078,0.004995888564735651,0.5405840277671814,0.8186381459236145,1,0
kodak,09.png,2030,9001,0.0,30.0,ideal,fm_only,0,4096,4096,1,12290,21.621732711791992,0.006883775815367699,0.5476223826408386,0.7628830075263977,1,1
kodak,10.png,2030,9001,0.0,30.0,ideal,fm_only,0,4096,4096,1,12290,25.879859924316406,0.0025823432952165604,0.684201180934906,0.7813979983329773,0,0
kodak,11.png,2030,9001,0.0,30.0,ideal,fm_only,0,4096,4096,1,12290,19.733774185180664,0.010632188059389591,0.5514339208602905,0.7865970134735107,1,1
kodak,12.png,2030,9001,0.0,30.0,ideal,fm_only,0,4096,4096,1,12290,22.086687088012695,0.006184881553053856,0.6017273664474487,0.7643926739692688,1,1
kodak,09.png,2030,9001,0.0,30.0,ideal,adaptive_harq,1,8192,4096,2,16388,22.471473693847656,0.005660473834723234,0.46662187576293945,0.8286852240562439,1,0
kodak,10.png,2030,9001,0.0,30.0,ideal,adaptive_harq,0,4096,4096,1,12290,25.822952270507812,0.002616404788568616,0.6763895750045776,0.791149914264679,0,0
