image,method,snr_db,speed_kmh,csi_age_ms,harq_interval_ms,round_correlation,first_gain_sq,second_gain_sq,effective_snr_db,psnr,ssim,mse,ms_ssim,ms_ssim_db,cbr_payload,psnr_outage,lpips,nack,transmission_rounds,predicted_direct_psnr,predicted_fm_psnr,predicted_direct_psnr_raw,predicted_fm_psnr_raw,mask_rate,flow_steps,mask_threshold,target_psnr,direct_quality_bias,fm_quality_bias,calibration_json,split,training_seed,channel_seed
0882.png,flowharq,3.0,120.0,2.0,1.0,-0.38632893562316895,2.8492908477783203,0.5879742503166199,7.547368049621582,20.210269927978516,0.5234650373458862,0.009527365677058697,0.8620914816856384,8.60408878326416,0.041666666666666664,1,0.43685612082481384,1,2,19.289735794067383,19.28865623474121,18.775516510009766,18.811479568481445,0.1796875,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
0883.png,flowharq,3.0,120.0,2.0,1.0,-0.38632893562316895,0.3588523268699646,2.901043176651001,-1.4508423805236816,21.472471237182617,0.5192521214485168,0.007124476134777069,0.8175594210624695,7.388786315917969,0.041666666666666664,1,0.5005233883857727,1,2,19.881776809692383,19.830852508544922,19.367557525634766,19.353675842285156,0.25390625,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
0884.png,flowharq,3.0,120.0,2.0,1.0,-0.38632893562316895,1.6695715188980103,0.3748336732387543,5.22605037689209,19.43596076965332,0.516400933265686,0.011386863887310028,0.8471170663833618,8.156410217285156,0.041666666666666664,1,0.4204714000225067,1,2,19.171428680419922,19.43133544921875,18.657209396362305,18.954158782958984,0.2265625,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
0881.png,oracle_adaptive,3.0,120.0,2.0,1.0,-0.38632893562316895,1.1995128393173218,1.3221056461334229,3.7900490760803223,19.173988342285156,0.3901486396789551,0.012094873003661633,0.7774302363395691,6.525339126586914,0.041666666666666664,1,0.5368006229400635,1,2,19.852880477905273,19.969987869262695,19.338661193847656,19.49281120300293,0.15625,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
0882.png,oracle_adaptive,3.0,120.0,2.0,1.0,-0.38632893562316895,2.8492908477783203,0.5879742503166199,7.547368049621582,20.210269927978516,0.5234650373458862,0.009527365677058697,0.8620914816856384,8.60408878326416,0.041666666666666664,1,0.43685612082481384,1,2,19.289735794067383,19.28865623474121,18.775516510009766,18.811479568481445,0.1796875,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
0883.png,oracle_adaptive,3.0,120.0,2.0,1.0,-0.38632893562316895,0.3588523268699646,2.901043176651001,-1.4508423805236816,21.472471237182617,0.5192521214485168,0.007124476134777069,0.8175594210624695,7.388786315917969,0.041666666666666664,1,0.5005233883857727,1,2,19.881776809692383,19.830852508544922,19.367557525634766,19.353675842285156,0.25390625,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
0884.png,oracle_adaptive,3.0,120.0,2.0,1.0,-0.38632893562316895,1.6695715188980103,0.3748336732387543,5.22605037689209,19.43596076965332,0.516400933265686,0.011386863887310028,0.8471170663833618,8.156410217285156,0.041666666666666664,1,0.4204714000225067,1,2,19.171428680419922,19.43133544921875,18.657209396362305,18.954158782958984,0.2265625,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
0881.png,oracle_flowharq,3.0,120.0,2.0,1.0,-0.38632893562316895,1.1995128393173218,1.3221056461334229,3.7900490760803223,19.173988342285156,0.3901486396789551,0.012094873003661633,0.7774302363395691,6.525339126586914,0.041666666666666664,1,0.5368006229400635,1,2,19.852880477905273,19.969987869262695,19.338661193847656,19.49281120300293,0.15625,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
0882.png,oracle_flowharq,3.0,120.0,2.0,1.0,-0.38632893562316895,2.8492908477783203,0.5879742503166199,7.547368049621582,20.210269927978516,0.5234650373458862,0.009527365677058697,0.8620914816856384,8.60408878326416,0.041666666666666664,1,0.43685612082481384,1,2,19.289735794067383,19.28865623474121,18.775516510009766,18.811479568481445,0.1796875,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
0883.png,oracle_flowharq,3.0,120.0,2.0,1.0,-0.38632893562316895,0.3588523268699646,2.901043176651001,-1.4508423805236816,21.472471237182617,0.5192521214485168,0.007124476134777069,0.8175594210624695,7.388786315917969,0.041666666666666664,1,0.5005233883857727,1,2,19.881776809692383,19.830852508544922,19.367557525634766,19.353675842285156,0.25390625,4,0.8,24.0,0.5142197291056315,0.4771757940451304,/home/sheng/flowmatching_vtc2027/results/h2/seed_2030/decision.json,test,2030,7070
